Date,Description,Montant,Catégorie
2025-04-01,Netflix,-15.49,Abonnement
2025-04-02,Loyer,-1200.00,Logement
2025-04-03,Spotify,-9.99,Abonnement
2025-04-04,Électricité,-87.65,Facture
2025-04-05,Carrefour,-64.23,Courses
2025-04-05,McDonald's,-12.50,Restauration
2025-04-08,Amazon Prime,-6.99,Abonnement
2025-04-10,Essence Total,-52.30,Transport
2025-04-15,Salaire,+2450.00,Revenu
2025-04-18,Free Mobile,-14.99,Abonnement
2025-04-20,Fnac,-89.99,Loisirs
2025-04-22,EDF,-68.40,Facture
2025-04-25,Pharmacie,-32.15,Santé
2025-04-28,Uber Eats,-23.75,Restauration
2025-03-01,Netflix,-15.49,Abonnement
2025-03-01,Loyer,-1200.00,Logement
2025-03-03,Spotify,-9.99,Abonnement
2025-03-05,Intermarché,-78.90,Courses
2025-03-10,Assurance habitation,-45.50,Facture
2025-03-12,KFC,-15.80,Restauration
2025-03-15,Salaire,+2450.00,Revenu
2025-03-18,Free Mobile,-14.99,Abonnement
2025-03-20,Cinéma,-24.00,Loisirs
2025-03-22,Gaz,-72.30,Facture
2025-03-25,Médecin,-25.00,Santé
2025-03-28,Deliveroo,-18.50,Restauration
2025-02-01,Netflix,-15.49,Abonnement
2025-02-01,Loyer,-1200.00,Logement
2025-02-03,Spotify,-9.99,Abonnement
2025-02-05,Leclerc,-92.45,Courses
2025-02-10,Internet,-29.99,Facture
2025-02-14,Fleurs,-35.00,Divers
2025-02-15,Salaire,+2450.00,Revenu
2025-02-18,Free Mobile,-14.99,Abonnement
2025-02-20,Théâtre,-42.00,Loisirs
2025-02-22,Eau,-38.70,Facture
2025-02-25,Dentiste,-30.00,Santé
2025-02-28,Pizza Hut,-27.80,Restauration
